N°;Désignation;Code Barre;Référence;Unité;Prix de Vente;Niveau d'Alerte;Stock Boutique;Stock Atelier;Stock Magasin1;Stock Magasin2;Stock Magasin3;Qté par Carton;Prix Achat Carton;Prix Achat Unitaire
748;GEL LEMON CLEAR MELANGE G;6043000038653;;BIDON;3 000,00;2;2,00;0,00;0,00;0,00;0,00;0;0;2500
749;GEL DE DOUCHE LEMON CLEAR G;6043000038639;;BIDON;3 000,00;2;3,00;0,00;0,00;0,00;0,00;0;0;2500
750;GEL DOUCHE LEMON CLEAR P;6043000038646;;BIDON;1 500,00;2;3,00;0,00;0,00;0,00;0,00;0;0;1250
751;GEL DOUCHE LEMON CLEAR SP;6043000038622;;BIDON;1 500,00;2;3,00;0,00;0,00;0,00;0,00;0;0;1250
752;GEL DOUCHE PERFECT WHITE G;6181100533118;;BIDON;1 750,00;2;4,00;0,00;0,00;0,00;0,00;0;0;1400
753;GEL DOUCHE SOLEIL PROTECT;6186000460960;;BIDON;1 500,00;2;0,00;0,00;0,00;0,00;0,00;0;0;1100
754;GEL DOUCHE RICH PURE;6182000128978;;BIDON;1 750,00;2;3,00;0,00;0,00;0,00;0,00;0;0;1500
755;GEL DOUCHE GLUTA WHITE;6182000125779;;BIDON;1 750,00;2;-1,00;0,00;0,00;0,00;0,00;0;0;1500
756;GEL DOUCHE BB SUISSE;6182000128817;;BIDON;1 000,00;2;1,00;0,00;0,00;0,00;0,00;0;0;750
757;GEL DOUCHE EFFIMAX;6182000132807;;BIDON;1 500,00;2;6,00;0,00;0,00;0,00;0,00;0;0;1200
758;LAIT DE BEAUTÉ CARO WHITE 300ML;6181100530018;;UNITE;1 100,00;2;3,00;0,00;0,00;0,00;0,00;0;0;850
759;BRONZ TONE 300ML;6181100248296;;UNITE;1 750,00;2;3,00;0,00;0,00;0,00;0,00;0;0;1350
760;CREME EVER SHEEN P;;;BOITE;600,00;2;2,00;0,00;0,00;0,00;0,00;0;0;500
761;CREME EVER SHEEN G;;;BOITE;1 250,00;2;1,00;0,00;0,00;0,00;0,00;0;0;1100
762;CARRO PAA PETIT;6033000171498;;BOITE;600,00;2;5,00;0,00;0,00;0,00;0,00;0;0;375
763;COCO PAA PETIT;6033000170026;;BOITE;600,00;2;4,00;0,00;0,00;0,00;0,00;0;0;375
764;CREME AVOVITA G;6186000077113;;BOITE;850,00;2;6,00;0,00;0,00;0,00;0,00;0;0;650
765;CREME AVOVITA P;6186000077137;;BOITE;600,00;2;6,00;0,00;0,00;0,00;0,00;0;0;375
766;CREME LEMON PAA M;6033000170934;;BOITE;800,00;2;4,00;0,00;0,00;0,00;0,00;0;0;550
767;CREME AVOVITA MOYEN;6186000077120;;BOITE;800,00;2;5,00;0,00;0,00;0,00;0,00;0;0;650
768;CREME AVOVITA GROS;6186000077113;;BOITE;1 300,00;2;2,00;0,00;0,00;0,00;0,00;0;0;1100
769;CREME CAROTONE P;6182000100486;;BOITE;600,00;2;6,00;0,00;0,00;0,00;0,00;0;0;375
770;SHAMPOOING VITAL G;6181100326109;;BIDON;1 500,00;2;0,00;0,00;0,00;0,00;0,00;0;0;975
771;SHAMPOOING REFLET G;6181100322354;;BIDON;1 500,00;2;1,00;0,00;0,00;0,00;0,00;0;0;975
772;GEL DOUCHE BABY WHITE ROSE;6957644512540;;BIDON;2 250,00;2;1,00;0,00;0,00;0,00;0,00;0;0;2000
773;LAIT BABY WHITE JAUNE;6957644531244;;BIDON;2 500,00;2;1,00;0,00;0,00;0,00;0,00;0;0;2000
774;LAIT BABY WHITE ROSE;;;BIDON;2 500,00;2;2,00;0,00;0,00;0,00;0,00;0;0;2000
775;VASELINE PEROLEUM;6181100233469;;BOUTEILLE;500,00;2;5,00;0,00;0,00;0,00;0,00;0;0;400
776;POMMADE HYDRAT PLUS;6181100329018;;BOITE;650,00;2;5,00;0,00;0,00;0,00;0,00;0;0;450
777;POMMADE DAY BY DAY MENTHE;6181100534177;;BOITE;650,00;2;6,00;0,00;0,00;0,00;0,00;0;0;450
778;POMMADE HYDRAT;6181100324471;;BOITE;650,00;2;2,00;0,00;0,00;0,00;0,00;0;0;450
779;POMMADE MAIA;9506000135120;;BOITE;1 000,00;2;8,00;0,00;0,00;0,00;0,00;0;0;800
780;CREME BIOLIGHT MOYEN;6181100531190;;BOITE;1 100,00;2;4,00;0,00;0,00;0,00;0,00;0;0;850
781;SHAMPOOING DOP;6181100106534;;BIDON;600,00;2;18,00;0,00;0,00;0,00;0,00;0;0;300
782;CREME COCOA BUTTER;6186000077014;;BOITE;1 500,00;2;3,00;0,00;0,00;0,00;0,00;0;0;1250
783;CREME COCOA BUTTER MOYEN;6186000077021;;BOITE;1 000,00;2;4,00;0,00;0,00;0,00;0,00;0;0;750
784;CREME COCOA BUTTER P;6186000077038;;BOITE;500,00;2;5,00;0,00;0,00;0,00;0,00;0;0;425
785;PHILOBACT SKIN CREAM;;;UNITE;600,00;2;4,00;0,00;0,00;0,00;0,00;0;0;425
786;FEVICID;;;UNITE;500,00;2;2,00;0,00;0,00;0,00;0,00;0;0;425
787;SAVON PHILOBACT;6181100520477;;UNITE;500,00;2;2,00;0,00;0,00;0,00;0,00;0;0;300
788;SAVON FECIVID;;;UNITE;500,00;2;5,00;0,00;0,00;0,00;0,00;0;0;300
789;SAVON CURCUMA;6186000128525;;UNITE;500,00;2;6,00;0,00;0,00;0,00;0,00;0;0;300
790;SAVON JAUNE D ŒUF;6186000460342;;UNITE;500,00;2;10,00;0,00;0,00;0,00;0,00;0;0;300
791;SAVON TJRS JEUNE;6186000189250;;UNITE;500,00;2;1,00;0,00;0,00;0,00;0,00;0;0;300
792;SAVON 2 JOURS PROPRE;6186000188055;;UNITE;600,00;2;8,00;0,00;0,00;0,00;0,00;0;0;350
793;SAVON SUPER GRACE;;;UNITE;500,00;2;6,00;0,00;0,00;0,00;0,00;0;0;300
794;SAVON GLUTA WHITE;6182000123492;;UNITE;800,00;2;6,00;0,00;0,00;0,00;0,00;0;0;650
795;SAVON SIVODERME BEAUTÉ;6181100323160;;UNITE;800,00;2;0,00;0,00;0,00;0,00;0,00;0;0;600
796;SAVON SIVODERME DOUCEUR;6181100325461;;UNITE;800,00;2;3,00;0,00;0,00;0,00;0,00;0;0;650
797;SAVON BAYIRI;735745149508;;UNITE;1 000,00;2;1,00;0,00;0,00;0,00;0,00;0;0;850
798;SAVON EVER SHEEN;6186000077540;;UNITE;800,00;2;5,00;0,00;0,00;0,00;0,00;0;0;650
799;SAVON SUN PROTECT;6186000460571;;UNITE;500,00;2;1,00;0,00;0,00;0,00;0,00;0;0;300
800;SAVON CARO WHITE;6181100530094;;UNITE;600,00;2;6,00;0,00;0,00;0,00;0,00;0;0;425
801;SAVON IDOLE;674571000204;;UNITE;800,00;2;4,00;0,00;0,00;0,00;0,00;0;0;600
802;SAVON CITRON CLEAR;6181100236484;;UNITE;750,00;2;6,00;0,00;0,00;0,00;0,00;0;0;550
803;SAVON MITRACA;;;UNITE;1 000,00;2;1,00;0,00;0,00;0,00;0,00;0;0;800
804;SAVON PAW-PAW;6181100536522;;UNITE;700,00;2;3,00;0,00;0,00;0,00;0,00;0;0;450
805;SAVON DUDU-OSUN;6156000043821;;UNITE;700,00;2;3,00;0,00;0,00;0,00;0,00;0;0;450
806;RIZ DINOR ROUGE 5×5;6181100229448;;SAC;5 500,00;2;5,00;0,00;0,00;0,00;0,00;0;0;5100
807;HUILE CLARIFIANTE BIOLIGHT;6181100531619;;BIDON;500,00;2;6,00;0,00;0,00;0,00;0,00;0;0;300
808;HUILE CLARIFIANTE COCOPULP;6181100532944;;BIDON;500,00;2;3,00;0,00;0,00;0,00;0,00;0;0;300
809;HUILE CLARIFIANTE MEGA WHITE;6182000132081;;BIDON;600,00;2;6,00;0,00;0,00;0,00;0,00;0;0;375
810;HUILE CLARIFIANTE BRAVIA;6182000130407;;BIDON;600,00;2;4,00;0,00;0,00;0,00;0,00;0;0;375
811;HUILE CLARIFIANTE PAW-PAW;6181100536515;;BIDON;600,00;2;5,00;0,00;0,00;0,00;0,00;0;0;350
812;HUILE CLARIFIANTE CARO WHITE;6181100530070;;BIDON;500,00;2;5,00;0,00;0,00;0,00;0,00;0;0;300
813;HUILE CLARIFIANTE LEMON CLEAR;6043000039407;;BIDON;650,00;2;3,00;0,00;0,00;0,00;0,00;0;0;475
814;HUILE CLARIFIANTE PURE WHITE;6043000039223;;BIDON;750,00;2;4,00;0,00;0,00;0,00;0,00;0;0;475
816;HUILE CLARIFIANTE CITRO CLEAR;6182000100097;;BIDON;750,00;2;4,00;0,00;0,00;0,00;0,00;0;0;500
817;CREME DEPILATOIRE SIVODERM;6181100320275;;UNITE;1 000,00;2;2,00;0,00;0,00;0,00;0,00;0;0;750
818;GEL ULTRA BEAUTY;6181100324822;;BOITE;400,00;2;5,00;0,00;0,00;0,00;0,00;0;0;200
819;WAVE STYLE UP;6033000171276;;BOITE;1 000,00;2;6,00;0,00;0,00;0,00;0,00;0;0;750
820;SULFUR-18;6181100321104;;BOITE;650,00;2;6,00;0,00;0,00;0,00;0,00;0;0;450
821;POUDRE SULFUR-18;6181100321821;;BIDON;500,00;2;5,00;0,00;0,00;0,00;0,00;0;0;333
822;DEFRISANT OPTIMAL;6182000134382;;BOITE;600,00;2;6,00;0,00;0,00;0,00;0,00;0;0;400
823;DEFRISANT UB;6181100230017;;BOITE;600,00;2;3,00;0,00;0,00;0,00;0,00;0;0;400
824;SAVON MIA MISS CAROTTE;;;UNITE;500,00;2;6,00;0,00;0,00;0,00;0,00;0;0;275
825;SAVON MIA MISS CITRONEL;;;UNITE;500,00;2;3,00;0,00;0,00;0,00;0,00;0;0;275
826;DEO FRENCH STYLE H;3546200000565;;BOUTEILLE;1 750,00;2;0,00;0,00;0,00;0,00;0,00;0;0;1350
827;DEO MADEMOISELLE;6130271003135;;BOUTEILLE;1 500,00;2;2,00;0,00;0,00;0,00;0,00;0;0;1250
828;LUNE D,ETÉ;6182000130797;;BIDON;750,00;2;6,00;0,00;0,00;0,00;0,00;0;0;400
829;LOMANI;6182000130698;;BIDON;750,00;2;3,00;0,00;0,00;0,00;0,00;0;0;400
830;EAU DE ROCHE 70°;;;BIDON;500,00;2;7,00;0,00;0,00;0,00;0,00;0;0;333
831;PARFUN INCIDENCE HP;6181100329391;;UNITE;700,00;2;4,00;0,00;0,00;0,00;0,00;0;0;425
832;PARFUM INCIDENCE ROSE P;6181100329384;;UNITE;700,00;2;6,00;0,00;0,00;0,00;0,00;0;0;425
833;PARFUM AMAZONA;6181100315585;;BOUTEILLE;1 000,00;2;0,00;0,00;0,00;0,00;0,00;0;0;850
834;PARFUM MISTER PERFECT;6182000123652;;UNITE;2 500,00;2;2,00;0,00;0,00;0,00;0,00;0;0;2000
835;SAVON VISAGE COLLAGEN;8859159200418;;UNITE;500,00;2;3,00;0,00;0,00;0,00;0,00;0;0;300
836;SAVON VISAGE RICE MILK;8858891600715;;UNITE;500,00;2;10,00;0,00;0,00;0,00;0,00;0;0;300
837;BLACK HAIR SHAMPOO;6926213000900;;UNITE;200,00;2;10,00;0,00;0,00;0,00;0,00;0;0;85
838;BLACK HAIR SHAMPOO PQ;6926213009000;;PAQUET;1 500,00;2;-1,00;0,00;0,00;0,00;0,00;0;0;850
839;DEO ACTIVE MAN;6291100171255;;UNITE;1 500,00;2;2,00;0,00;0,00;0,00;0,00;0;0;1250
840;DEO DOLBY;6291100171262;;UNITE;1 500,00;2;0,00;0,00;0,00;0,00;0,00;0;0;1250
841;DEO LET S IMAGINE;6291100171279;;UNITE;1 500,00;2;1,00;0,00;0,00;0,00;0,00;0;0;1250
842;DEO DIAMANT BLEU;6130227010409;;UNITE;1 500,00;2;0,00;0,00;0,00;0,00;0,00;0;0;1250
843;DEO DIAMANT NOIR;6130271002824;;UNITE;1 500,00;2;1,00;0,00;0,00;0,00;0,00;0;0;1250
844;DEO DIAMANT BLANC;6130271010416;;UNITE;1 500,00;2;2,00;0,00;0,00;0,00;0,00;0;0;1250
845;HUILE ECLAIRCISSANTE LALALA G;1023745841645;;BOUTEILLE;3 000,00;2;2,00;0,00;0,00;0,00;0,00;0;0;2500
846;HUILE ECLAIRCISSANTE LALALA P;1023745841652;;BOUTEILLE;2 000,00;2;2,00;0,00;0,00;0,00;0,00;0;0;1600
847;DEO HUG;6156000070247;;UNITE;1 500,00;2;2,00;0,00;0,00;0,00;0,00;0;0;1250
848;DEO EMBRACE;6156000070155;;UNITE;1 250,00;2;1,00;0,00;0,00;0,00;0,00;0;0;1000
849;CLASS WANT YOU;6182000128282;;BOUTEILLE;1 500,00;2;3,00;0,00;0,00;0,00;0,00;0;0;1150
850;CLASS VIE;6182000128312;;BOUTEILLE;1 500,00;2;3,00;0,00;0,00;0,00;0,00;0;0;1150
851;CLASS MONSIEUR;6182000115435;;BOUTEILLE;1 500,00;2;2,00;0,00;0,00;0,00;0,00;0;0;1150
